"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"J2TE8VHG","preprint","2024","Ramachandran, Gautham; Yang, Rick","CortexCompile: Harnessing Cortical-Inspired Architectures for Enhanced Multi-Agent NLP Code Synthesis","","","","10.48550/arXiv.2409.02938","http://arxiv.org/abs/2409.02938","Current approaches to automated code generation often rely on monolithic models that lack real-time adaptability and scalability. This limitation is particularly evident in complex programming tasks that require dynamic adjustment and efficiency. The integration of neuroscience principles into Natural Language Processing (NLP) has the potential to revolutionize automated code generation. This paper presents CortexCompile, a novel modular system inspired by the specialized functions of the human brain's cortical regions. By emulating the distinct roles of the Prefrontal Cortex, Parietal Cortex, Temporal Lobe, and Motor Cortex, CortexCompile achieves significant advancements in scalability, efficiency, and adaptability compared to traditional monolithic models like GPT-4o. The system's architecture features a Task Orchestration Agent that manages dynamic task delegation and parallel processing, facilitating the generation of highly accurate and optimized code across increasingly complex programming tasks. Experimental evaluations demonstrate that CortexCompile consistently outperforms GPT-4o in development time, accuracy, and user satisfaction, particularly in tasks involving real-time strategy games and first-person shooters. These findings underscore the viability of neuroscience-inspired architectures in addressing the limitations of current NLP models, paving the way for more efficient and human-like AI systems.","2024-08-23","2025-05-22 20:00:52","2025-05-22 20:00:52","2025-05-22 20:00:10","","","","","","","CortexCompile","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2409.02938 [cs]","","/Users/ksoares/Zotero/storage/FAK94JFB/Ramachandran et Yang - 2024 - CortexCompile Harnessing Cortical-Inspired Architectures for Enhanced Multi-Agent NLP Code Synthesi.pdf; /Users/ksoares/Zotero/storage/VTQ7P294/2409.html","","","Computer Science - Artificial Intelligence; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2409.02938","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V4SHJRW2","preprint","2024","Ishibashi, Yoichi; Nishimura, Yoshimasa","Self-Organized Agents: A LLM Multi-Agent Framework toward Ultra Large-Scale Code Generation and Optimization","","","","10.48550/arXiv.2404.02183","http://arxiv.org/abs/2404.02183","Recent advancements in automatic code generation using large language model (LLM) agent have brought us closer to the future of automated software development. However, existing single-agent approaches face limitations in generating and improving large-scale, complex codebases due to constraints in context length. To tackle this challenge, we propose Self-Organized multi-Agent framework (SoA), a novel multi-agent framework that enables the scalable and efficient generation and optimization of large-scale code. In SoA, self-organized agents operate independently to generate and modify code components while seamlessly collaborating to construct the overall codebase. A key feature of our framework is the automatic multiplication of agents based on problem complexity, allowing for dynamic scalability. This enables the overall code volume to be increased indefinitely according to the number of agents, while the amount of code managed by each agent remains constant. We evaluate SoA on the HumanEval benchmark and demonstrate that, compared to a single-agent system, each agent in SoA handles significantly less code, yet the overall generated code is substantially greater. Moreover, SoA surpasses the powerful single-agent baseline by 5% in terms of Pass@1 accuracy.","2024-04-02","2025-05-22 20:00:52","2025-05-22 20:00:52","2025-05-22 20:00:16","","","","","","","Self-Organized Agents","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2404.02183 [cs]","","/Users/ksoares/Zotero/storage/6APRLSCY/Ishibashi et Nishimura - 2024 - Self-Organized Agents A LLM Multi-Agent Framework toward Ultra Large-Scale Code Generation and Opti.pdf; /Users/ksoares/Zotero/storage/HRR6Y5BL/2404.html","","","Computer Science - Computation and Language; Computer Science - Artificial Intelligence; Computer Science - Multiagent Systems; Computer Science - Software Engineering; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2404.02183","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSCAZRST","conferencePaper","2024","Ramírez-Rueda, Rolando; Benítez-Guerrero, Edgard; Mezura-Godoy, Carmen; Bárcenas, Everardo","Transforming Software Development: A Study on the Integration of Multi-Agent Systems and Large Language Models for Automatic Code Generation","2024 12th International Conference in Software Engineering Research and Innovation (CONISOFT)","","","","https://ieeexplore.ieee.org/abstract/document/10795597/","This paper explores the integration of Multi-Agent Systems (MAS) and Large Language Models (LLMs) for auto-matic code generation, addressing the limitations of traditional manual coding. By conducting a comprehensive review of existing literature and analyzing a practical case study, we demonstrate how MAS and LLMs can collaboratively enhance software development processes. The research focuses on the technical and theoretical challenges of this integration, highlighting the potential for improved productivity, adaptability, and quality in code generation. The findings contribute to AI-based software engineering by revealing new research directions in collective intelligence and automated programming.","2024","2025-05-22 20:00:52","2025-05-26 13:27:48","2025-05-22 20:00:17","11–20","","","","","","Transforming Software Development","","","","","IEEE","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IS8HPPY4","journalArticle","2025","Ashraf, Bilal; Talavera, Gregory","Autonomous Agents in Software Engineering: A Multi-Agent LLM Approach","","","","","https://www.researchgate.net/profile/Gregory-Talavera/publication/388834987_Autonomous_Agents_in_Software_Engineering_A_Multi-Agent_LLM_Approach/links/67a90cc4461fb56424d320f9/Autonomous-Agents-in-Software-Engineering-A-Multi-Agent-LLM-Approach.pdf","The integration of autonomous agents in software engineering has the potential to revolutionize traditional development processes by automating complex tasks, enhancing collaboration, and optimizing productivity. Large Language Models (LLMs) have emerged as powerful tools for facilitating autonomous agent interactions, enabling software engineering workflows to be more intelligent and adaptive. This paper explores a multi-agent LLM approach, where autonomous agents perform various roles such as requirement analysis, code generation, testing, and debugging. By leveraging natural language processing capabilities, these agents can communicate, make decisions, and execute tasks with minimal human intervention. Experimental results demonstrate that multi-agent LLMs can streamline software development, reduce human errors, and accelerate project timelines. However, challenges related to model interpretability, coordination complexities, and error handling remain critical concerns. This study discusses the benefits, limitations, and future implications of integrating multi-agent LLMs in software engineering, emphasizing the need for further research to enhance agent reliability, contextual awareness, and ethical considerations. The findings suggest that a well-structured autonomous agent system can significantly improve software engineering efficiency while complementing human expertise in an agile development environment.","2025","2025-05-22 20:00:52","2025-05-26 13:21:05","2025-05-22 20:00:18","","","","","","","Autonomous Agents in Software Engineering","","","","","","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF9FS7MF","preprint","2024","Islam, Md Ashraful; Ali, Mohammed Eunus; Parvez, Md Rizwan","MapCoder: Multi-Agent Code Generation for Competitive Problem Solving","","","","10.48550/arXiv.2405.11403","http://arxiv.org/abs/2405.11403","Code synthesis, which requires a deep understanding of complex natural language problem descriptions, generation of code instructions for complex algorithms and data structures, and the successful execution of comprehensive unit tests, presents a significant challenge. While large language models (LLMs) demonstrate impressive proficiency in natural language processing, their performance in code generation tasks remains limited. In this paper, we introduce a new approach to code generation tasks leveraging multi-agent prompting that uniquely replicates the full cycle of program synthesis as observed in human developers. Our framework, MapCoder, consists of four LLM agents specifically designed to emulate the stages of this cycle: recalling relevant examples, planning, code generation, and debugging. After conducting thorough experiments, with multiple LLM ablations and analyses across eight challenging competitive problem-solving and program synthesis benchmarks, MapCoder showcases remarkable code generation capabilities, achieving new state-of-the-art results (pass@1) on HumanEval (93.9%), MBPP (83.1%), APPS (22.0%), CodeContests (28.5%), and xCodeEval (45.3%). Moreover, our method consistently delivers superior performance across various programming languages and varying problem difficulties. We open-source our framework at https://github.com/Md-Ashraful-Pramanik/MapCoder.","2024-05-18","2025-05-22 20:00:52","2025-05-22 20:00:52","2025-05-22 20:00:20","","","","","","","MapCoder","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2405.11403 [cs]","","/Users/ksoares/Zotero/storage/6F3TNDGJ/Islam et al. - 2024 - MapCoder Multi-Agent Code Generation for Competitive Problem Solving.pdf; /Users/ksoares/Zotero/storage/5GMXRJ5T/2405.html","","","Computer Science - Computation and Language; Computer Science - Artificial Intelligence","","","","","","","","","","","","","","","","","","","arXiv:2405.11403","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZ44T2Q2","preprint","2024","Nunez, Ana; Islam, Nafis Tanveer; Jha, Sumit Kumar; Najafirad, Peyman","AutoSafeCoder: A Multi-Agent Framework for Securing LLM Code Generation through Static Analysis and Fuzz Testing","","","","10.48550/arXiv.2409.10737","http://arxiv.org/abs/2409.10737","Recent advancements in automatic code generation using large language models (LLMs) have brought us closer to fully automated secure software development. However, existing approaches often rely on a single agent for code generation, which struggles to produce secure, vulnerability-free code. Traditional program synthesis with LLMs has primarily focused on functional correctness, often neglecting critical dynamic security implications that happen during runtime. To address these challenges, we propose AutoSafeCoder, a multi-agent framework that leverages LLM-driven agents for code generation, vulnerability analysis, and security enhancement through continuous collaboration. The framework consists of three agents: a Coding Agent responsible for code generation, a Static Analyzer Agent identifying vulnerabilities, and a Fuzzing Agent performing dynamic testing using a mutation-based fuzzing approach to detect runtime errors. Our contribution focuses on ensuring the safety of multi-agent code generation by integrating dynamic and static testing in an iterative process during code generation by LLM that improves security. Experiments using the SecurityEval dataset demonstrate a 13% reduction in code vulnerabilities compared to baseline LLMs, with no compromise in functionality.","2024-11-05","2025-05-22 20:00:52","2025-05-22 20:00:52","2025-05-22 20:00:22","","","","","","","AutoSafeCoder","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2409.10737 [cs]","","/Users/ksoares/Zotero/storage/PJMBYIYI/Nunez et al. - 2024 - AutoSafeCoder A Multi-Agent Framework for Securing LLM Code Generation through Static Analysis and.pdf; /Users/ksoares/Zotero/storage/NJKTC4CJ/2409.html","","","Computer Science - Artificial Intelligence; Computer Science - Software Engineering","","","","","","","","","","","","","","","","","","","arXiv:2409.10737","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VNA6NDCG","conferencePaper","2024","Akram, Adjal; Abdennour, Sebbagh","Multi-agent system control based on first-order consensus algorithm","2024 International Conference on Advances in Electrical and Communication Technologies (ICAECOT)","","","","https://ieeexplore.ieee.org/abstract/document/10828920/","The goal of this study is to investigate the control of multi-agent systems (MAS) using consensus algorithms, which have gained important attention due to their applications in robotics. We explored the basics of graph theory to understand the network structure of MAS and categorized the different types of MAS with examples. This study focuses on consensus algorithms, testing their principles, types, and simulations. We used MATLAB to simulate and implement first-order consensus algorithms, validating our personal code against the results from the ODE45 solver (ordinary differential equation solver) and AI-generated (Artificial intelligence generated) code. The results demonstrate convergence and accuracy for all methods, confirming that our approach is feasible and reliable. This research presents a deeper understanding of MAS control and offers a robust strategy for future real-world practical applications.","2024","2025-05-22 20:00:52","2025-05-26 13:26:42","2025-05-22 20:00:22","1–6","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LRV622MJ","journalArticle","2025","Wasif, Mubeen; Tunkel, David","Multi-Agent Collaboration in AI: Enhancing Software Development with Autonomous LLMs","","","","","https://www.researchgate.net/profile/David-Tunkel/publication/388834996_Multi-Agent_Collaboration_in_AI_Enhancing_Software_Development_with_Autonomous_LLMs/links/67a9104396e7fb48b9bd074e/Multi-Agent-Collaboration-in-AI-Enhancing-Software-Development-with-Autonomous-LLMs.pdf","The integration of multi-agent collaboration in artificial intelligence has the potential to revolutionize software development by leveraging autonomous large language models (LLMs) for enhanced efficiency, accuracy, and scalability. Traditional software engineering processes often rely on human collaboration, but the increasing complexity of modern development tasks necessitates more advanced automation. This study explores how multi-agent LLM systems can work collaboratively to streamline various aspects of software engineering, including requirement analysis, code generation, debugging, and documentation. By distributing tasks among specialized agents with unique expertise, these systems can improve software quality while reducing development time. Experimental results indicate that multi-agent LLM collaboration significantly enhances problem-solving capabilities, enabling the efficient resolution of complex coding challenges. Furthermore, the ability of these agents to communicate, refine outputs, and iteratively improve code contributes to higher levels of accuracy and consistency. Despite these advantages, challenges such as coordination overhead, security concerns, and bias propagation remain critical areas for further investigation. This research highlights the transformative potential of multi-agent LLMs in software engineering while emphasizing the need for robust governance frameworks to ensure responsible deployment.","2025","2025-05-22 20:00:52","2025-05-26 13:26:28","2025-05-22 20:00:28","","","","","","","Multi-Agent Collaboration in AI","","","","","","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8VV6W657","journalArticle","2025","Khan, Salman; Daviglus, Mendus","AI-Driven Automation in Agile Development: Multi-Agent LLMs for Software Engineering","","","","","https://www.researchgate.net/profile/Mendus-Daviglus/publication/388834977_AI-Driven_Automation_in_Agile_Development_Multi-Agent_LLMs_for_Software_Engineering/links/67a90985461fb56424d320a7/AI-Driven-Automation-in-Agile-Development-Multi-Agent-LLMs-for-Software-Engineering.pdf","The integration of AI-driven automation in agile software development has gained significant momentum, with large language models (LLMs) playing a crucial role in streamlining workflows. This study explores the potential of multi-agent LLM systems in enhancing various aspects of software engineering, including code generation, bug detection, documentation, and project management. By leveraging multiple specialized AI agents that collaborate dynamically, we analyze how automation can improve development efficiency while maintaining code quality and adaptability. Our research implements and evaluates a multi-agent framework, assessing its impact on sprint planning, automated testing, and continuous integration pipelines. Experimental results demonstrate that multi-agent LLMs can effectively reduce development time, enhance team productivity, and provide real-time decision support, making them valuable assets in agile environments. However, challenges such as model interpretability, error propagation, and alignment with human developers remain critical concerns. This study highlights the benefits and limitations of AI-driven automation in agile development and suggests future directions for optimizing multi-agent LLM frameworks for software engineering.","2025","2025-05-22 20:00:52","2025-05-26 13:20:41","2025-05-22 20:00:30","","","","","","","AI-Driven Automation in Agile Development","","","","","","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PNNIRIW8","conferencePaper","2024","Karaduman, Burak; Tezel, Baris Tekin; Kardas, Geylani; Challenger, Moharram","DSML4JaCaMo: A Modelling tool for Multi-agent Programming with JaCaMo","2024 19th Conference on Computer Science and Intelligence Systems (FedCSIS)","","","","https://ieeexplore.ieee.org/abstract/document/10736036/","This paper introduces a domain-specific modelling language (DSML) called DSML4JaCaMo to develop belief-desire-intention (BDI) agents. The DSML’s design covers aspects of Jason, Cartago, and Moise from viewpoints that follow the meta-modelling approach. In this way, the DSML4JaCaMo enables graphical modelling of JaCaMo’s multi-agent systems (MASs), providing comprehensive support for defining agents’ beliefs, desires, and intentions (BDI) using Jason, specifying artifacts and their operations with Cartago, and outlining organizational structures and norms via Moise. The DSML’s operational semantics ensure seamless integration of these components, facilitating automatic code generation and artifact construction for creating a JaCaMo-based system. The graphical syntax contributes to ease of use, making it accessible for novice and experienced developers. This work aims to enhance the JaCaMo ecosystem by offering a model-driven approach to provide abstraction on MAS development as well as facilitating design and implementation.","2024","2025-05-22 20:00:52","2025-05-26 13:23:38","2025-05-22 20:00:32","637–642","","","","","","DSML4JaCaMo","","","","","IEEE","","","","","","","Google Scholar","","","","/Users/ksoares/Zotero/storage/ND7LX677/Karaduman et al. - 2024 - DSML4JaCaMo A Modelling tool for Multi-agent Programming with JaCaMo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
