"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GPA7LFRG","journalArticle","2021","Rai, Prerana; Verma, Dinesh Kumar; Kumar, Shishir","A hybrid model for prediction of software effort based on team size","IET Software","","1751-8806, 1751-8814","10.1049/sfw2.12048","https://onlinelibrary.wiley.com/doi/10.1049/sfw2.12048","Most of the software development organisations frequently use an appreciable amount of resources to estimate the effort in the beginning of the development process. In most of the cases, inaccurate estimates tend to wastage of these resources. Very few generalised models have been found in the literature. These models have been developed using the prototype dataset of the organisation. The project management team of an organisation tries to predict the effort needed for the development of software using various mathematical techniques. These techniques are mostly based on statistical methods (viz. simple linear regression (SLR), multi linear regression, support vector machine, cascade correlation neural network (CCNN) etc.) and some probability‐based models. They use historical data of similar projects. The work presented in this article envisages the use of Support Vector Regression (SVR) and constructive cost model (COCOMO), where SVR can be used for both linear and non‐linear models and COCOMO can be used as a regression model. The proposed hybrid model has been tested on the International Software Benchmarking Standards Group dataset. The data has been grouped according to the size of man power. It has been found that the proposed model yields better results than the SVR or SLR for each group of data in general.","2021-12","2025-05-22 17:54:55","2025-05-26 13:09:48","2025-05-22 17:54:19","365-375","","6","15","","IET Software","","","","","","","","en","http://creativecommons.org/licenses/by-nc-nd/4.0/","","","","DOI.org (Crossref)","","","","/Users/ksoares/Zotero/storage/V83A4AVN/Rai et al. - 2021 - A hybrid model for prediction of software effort based on team size.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7GK83HCH","journalArticle","2024","Olivares, Rodrigo; Noel, Rene; Guzmán, Sebastián M.; Miranda, Diego; Munoz, Roberto","Intelligent learning-based methods for determining the ideal team size in agile practices","Biomimetics","","","","https://www.mdpi.com/2313-7673/9/5/292","One of the significant challenges in scaling agile software development is organizing software development teams to ensure effective communication among members while equipping them with the capabilities to deliver business value independently. A formal approach to address this challenge involves modeling it as an optimization problem: given a professional staff, how can they be organized to optimize the number of communication channels, considering both intra-team and inter-team channels? In this article, we propose applying a set of bio-inspired algorithms to solve this problem. We introduce an enhancement that incorporates ensemble learning into the resolution process to achieve nearly optimal results. Ensemble learning integrates multiple machine-learning strategies with diverse characteristics to boost optimizer performance. Furthermore, the studied metaheuristics offer an excellent opportunity to explore their linear convergence, contingent on the exploration and exploitation phases. The results produce more precise definitions for team sizes, aligning with industry standards. Our approach demonstrates superior performance compared to the traditional versions of these algorithms.","2024","2025-05-22 17:54:55","2025-05-26 13:12:07","2025-05-22 17:54:20","292","","5","9","","","","","","","","","","","","","","","Google Scholar","","Publisher: MDPI","","/Users/ksoares/Zotero/storage/DL48DDHL/Olivares et al. - 2024 - Intelligent learning-based methods for determining the ideal team size in agile practices.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YLVTJYCM","journalArticle","2023","Bodaragama, B. D. T.; Vipulasiri, DMHD; DI, De Silva; JayakodY, TWSL","Exploring the Impact of Team Size on Software Quality","Authorea Preprints","","","","https://www.authorea.com/doi/full/10.22541/au.168431236.62929306","The relationship between team size and software quality has been a long-standing topic of debate in the software development industry. While larger teams were traditionally believed to be more productive and produce higher-quality software, recent research has shown that this relationship is more complex than originally thought. The paper examines several studies that have found conflicting results, highlighting the need for further research to explore the moderating factors that influence this relationship. The research suggests that team communication and coordination, developer experience, and project complexity are key factors that may interact with team size to influence software quality. Future studies should consider these moderating factors and use a range of quality metrics to provide a comprehensive assessment of software quality. These findings have important implications for project managers and software development teams who need to make informed decisions about team size and project planning. By optimizing team size and considering the factors that influence software quality, they can improve the overall quality of their software products. Effective communication and coordination among team members are critical to ensure that development efforts are aligned and productive, particularly when dealing with larger teams. Additionally, developers’ experience and the complexity of the project can affect the software quality outcome. Therefore, project managers must evaluate these factors and tailor team size and project planning accordingly to meet the desired quality objectives. Overall, the research provides insights into the complex relationship between team size and software quality, which can help project managers and software development teams make informed decisions to optimize their development efforts. By leveraging the moderating factors that influence software quality, teams can better understand how to improve their software products’ overall quality, leading to better outcomes for their organizations and end-users.","2023","2025-05-22 17:54:55","2025-05-26 13:11:22","2025-05-22 17:54:21","","","","","","","","","","","","","","","","","","","Google Scholar","","Publisher: Authorea","","/Users/ksoares/Zotero/storage/LKULA3W6/Bodaragama et al. - 2023 - Exploring the Impact of Team Size on Software Quality.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZF6QKZ87","journalArticle","2024","Al Sayegh, Miriam Al Arbaji; Nasser, Nasser A.","Team Size Dynamics: A Study on Factors Influencing Pull Request Acceptance in Open-Source Software Repositories","","","","","https://www.academia.edu/download/110724801/V13I1202402.pdf","In contemporary software development, Pull-Based Development has become the prevalent methodology, prompting extensive research into the factors influencing the success of contributions. Our study delves into numerous factors while specifically investigating the pivotal role of team size in the evaluation and acceptance of pull requests. The significance of team size is underscored by its historical importance in guiding the choice of software methodologies. Our findings reveal that team size impacts the decision-making process concerning pull requests. The factors influencing these decisions are affected by team size, emphasizing the necessity of considering this variable in modern software projects. Our research illuminates the complex dynamics of pull-based development, providing valuable insights for project owners and developers alike.","2024","2025-05-22 17:54:55","2025-05-26 13:13:12","2025-05-22 17:54:25","","","","","","","Team Size Dynamics","","","","","","","","","","","","Google Scholar","","","","/Users/ksoares/Zotero/storage/99NGXRYI/Al Sayegh et Nasser - 2024 - Team Size Dynamics A Study on Factors Influencing Pull Request Acceptance in Open-Source Software R.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LT3PT67M","journalArticle","2023","Al Kurdi, Barween; Alshurideh, Muhammad Turki; Akour, Iman; Alzoubi, Haitham M.; Obeidat, Zaid Mohammad; Hamadneh, Samer; Joghee, Shanmugan","Factors affecting team social networking and performance: The moderation effect of team size and tenure","Journal of Open Innovation: Technology, Market, and Complexity","","","","https://www.sciencedirect.com/science/article/pii/S219985312300149X","As it derives from information technology, the internet revolution, and their consequences for business operations, social networking has received wide research interest. Therefore, this study aims to analyze the factors influencing team social networking and performance with the moderating effect of team size and tenure in SMEs in Jordan. Using a survey questionnaire, the study collected the data from this sector and analyzed it with SamartPLS to test the proposed research model. The results showed a mostly significant positive effect from seven factors (team communication, team conflict, team power, team regulation, team collaboration, team engagement, and team motivation). The study also revealed a moderating effect of both team size and tenure in the relationship between team social networking and SME performance in Jordan. The contributions provided through this work expand understanding of the factors’ importance while addressing the issue of team social networking and performance. In practice, this enables team leaders to focus on team size and tenure to develop their business performance.","2023","2025-05-22 17:54:55","2025-05-26 13:11:30","2025-05-22 17:54:27","100047","","2","9","","","Factors affecting team social networking and performance","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","/Users/ksoares/Zotero/storage/87FKKM9Y/S219985312300149X.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDBM9NCU","journalArticle","2023","Tang, Xiaobo; Shi, Wenxuan; Wu, Renli; Li, Shixuan","The expansion of team size in library and information science (LIS): <i>Is bigger always better?</i>","Journal of Information Science","","0165-5515, 1741-6485","10.1177/01655515231204800","https://journals.sagepub.com/doi/10.1177/01655515231204800","The increasing prevalence of large research teams in contemporary science has prompted an investigation into the trends of team size in library and information science (LIS). In this study, we analysed 103,299 LIS publications written by 129,560 unique authors between 2000 and 2020 sourced from the Microsoft Academic Graph (MAG) data sets. We conducted a temporal analysis from multiple dimensions, including journal quartiles, research topics and researchers with varying impact levels. In addition, we employed two multivariate linear regression models – with and without author fixed effects – to scrutinise the relationship between team size and publication impact. Our findings reveal continuous growth in LIS team size. Notably, publications in higher-quartile journals tend to have larger teams; the team size of technical topic publications is generally larger than that of theoretical topic publications; and researchers with a higher h-index are able to assemble larger teams. Although we observed that co-authored papers have a higher average citation impact than single-authored papers, the overall positive impact of team expansion on citation growth is not always significant within the common LIS team size range (three to six authors). Our research suggests that indiscriminately increasing the size of a team may not be a prudent decision.","2023-10-27","2025-05-22 17:54:55","2025-05-22 17:54:55","2025-05-22 17:54:29","01655515231204800","","","","","Journal of Information Science","The expansion of team size in library and information science (LIS)","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K24T7B4J","journalArticle","2025","Schulz, Anke","When Project Conditions Clash: How 3D Development Packs & Team Size Shape the Relationship Between Video Game Programmers’ Experience & Performance","","","","","https://scholarspace.manoa.hawaii.edu/items/ac9248eb-0d55-4f3a-8f2e-484e6ba7519b","As workers’ learning on the job is essential to organizations’ performance, identifying factors that shape it is a key managerial concern. We consider that workers’ task scope – known to influence these outcomes – is shaped by more structural factors than their job assignment. Building on the learning curve framework and U.S. data from the video game industry covering 61,989 observations over 13 years, we analyze the role that project conditions – specifically, 3D development packs and team size – play in shaping the relationship between programmers’ experience and their performance. Our results support our expectation that development packs support, while larger team size deters their learning progress on the job. They highlight the importance for managers to not only think about support technologies and their benefits in isolation, but in combination with other project conditions.","2025","2025-05-22 17:54:55","2025-05-26 13:15:30","2025-05-22 17:54:29","","","","","","","When Project Conditions Clash","","","","","","","","","","","","Google Scholar","","","","/Users/ksoares/Zotero/storage/D8ISI2I7/Schulz - 2025 - When Project Conditions Clash How 3D Development Packs & Team Size Shape the Relationship Between V.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HFIQYZ8P","conferencePaper","2021","Kassaymeh, Sofian; Abdullah, Salwani; Alweshah, Mohammed; Hammouri, Abdelaziz I.","A hybrid salp swarm algorithm with artificial neural network model for predicting the team size required for software testing phase","2021 International Conference on Electrical Engineering and Informatics (ICEEI)","","","","https://ieeexplore.ieee.org/abstract/document/9611128/","The software project director has to keep estimating the required resources and planning the schedule for deliverables. Unfortunately, such estimation and planning are not accurate unless careful monitoring and control plan is maintained because software development is risky. In this paper, an investigation was carried out by integrating a promising metaheuristic algorithm with an artificial neural network to optimize the network parameters to address predicting the size of a software test team. The target of this integration was to enhance the accuracy of network prediction. The proposed method has been evaluated on two datasets. These datasets have different characteristics and have been extracted from the industry repository. The comparative results proved the superiority of the proposed method over the other methods.","2021","2025-05-22 17:54:55","2025-05-26 13:09:58","2025-05-22 17:54:31","1–6","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"922UZ3CX","thesis","2021","Seeley, Shane","The effect of unbalancing team size on the physical and technical demands of small-sided games using elite reserve team soccer players","","","","","https://theses.gla.ac.uk/id/eprint/82445","At professional soccer clubs, players within the same club often require a different training stimulus on a given day based on different preceding training/match exposure and different responses to the same training stimulus. Despite large amounts of research into small-sided games (SSGs), there has be no previous research investigating whether unbalancing team size in SSGs results in differential physical and technical demands between teams. The aim of this study, therefore, is to investigate the physical and technical demands of different team sizes within unbalanced SSGs. 20 elite male soccer players (age: 19 ± 1 yr; height: 179.1 ± 5.6 cm; body mass: 71.4 ± 12.4 kg) from the reserve team of a Scottish Premier League club took part in the study during the in-season phase of the 2019/2020 season. Physical demands were measured using GPSports EVO 10-Hz GPS units along with polar H1 heart rate sensors (5 kHz). SSGs were recorded using a GoPro HERO7 4K video camera and technical demands (and possession) were recorded retrospectively by analysing the footage using Nacsport Scout PLUS video analysis software. The game formats used were 5 vs 5 (control group), 6 vs 4 and 7 vs 3, plus the goal keepers. There was 6 testing days throughout the season with 2 testing days per format (12 games total). Game format order was randomised every 3 testing days. SSGs were performed in a 2 x 4 minute fashion with 90 seconds rest between with only one format (e.g. 6 vs 4) measured per testing day. In addition to the above study protocol, 2 seasons of second day recovery data from the first team was compiled to put any “lower-intensity” data into context of the clubs periodisation strategy. The results show no significant differences between any individual physical or technical variables of the smaller, disadvantaged teams and the control. In contrast, the larger teams had significantly lower physical demands. Compared with the control group, the team of 7 had significantly lower mean total distance (284 vs 407 m), heart rate (73 vs 85 %HRmax), maximum velocity (18 vs 21 km.h-1), high-intensity running distance (0.1 vs 6.3 m) and decelerations (0.7 vs 1.6) per game. The results of the team of 7 showed great compatibility with the second day recovery data. The team of 3 and 4 had significantly lower possession compared with their opposition team of 7 and 6 respectively (35-37 vs 63-65 %). As a team, the team of 7 took significantly more shots than the control group (12 vs 7). The significantly lower demands of the advantaged teams and the control combined with the lack of differences between the disadvantaged teams and the control suggest that different periodisation targets can be hit within the same SSG. This means that recovery groups can be combined with regular training groups. This can lead to increased team cohesion, training enjoyment, and technical/technical development. It could also help younger athletes receive an optimal physical stimulus (in relation to the next match) when training with older teams for one-off sessions, thus allowing them to perform more matches throughout the season. Finally, the technical and tactical differences can be used to develop these skills e.g. how do 4 defenders deal with 6 attacking players and also reduce overtraining in select players.","2021","2025-05-22 17:54:55","2025-05-26 13:13:33","2025-05-22 17:54:35","","","","","","","","","","","","University of Glasgow","","","","PhD Thesis","","","Google Scholar","","","","/Users/ksoares/Zotero/storage/6FNWR9KP/Seeley - 2021 - The effect of unbalancing team size on the physical and technical demands of small-sided games using.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7VEDGNZA","journalArticle","2021","Zhu, Nibing; Liu, Chang; Yang, Zhilin","Team size, research variety, and research performance: do coauthors’ coauthors matter?","Journal of Informetrics","","","","https://www.sciencedirect.com/science/article/pii/S1751157721000766?casa_token=DGE2hWADuhoAAAAA:d1oc5xa-DSE8hWiNcQ7_J3tQNQM_GHOKuxEHsj4Mrss6-rdXaFP9eaCjxXRcZu_CThyND1H3u6s","Despite team-based works having been dominant in scientific production, little is known about the relationships between team size and research performance in cross-domain research contexts. Drawn from a collaboration network of 114,577 scholars, we first investigate the relationships between team size and both research productivity and impact. In the first-degree network (i.e., a network that consists of the focal author, the coauthors, and the connections among the nodes), productivity is positively associated with team size, while team size and research impact exhibit an inverted-U shaped relationship. In the second-degree network (i.e., a network that consists of the focal author, the coauthors, the coauthors’ coauthors, and the connections among the nodes), both research productivity and impact suggest an inverted-U shaped relationship with the team size of second-degree connections. We also find that research variety exerts a moderating effect on the relationships between team size and research performance. With the increase in research variety, the curvilinear relationship between first-degree team size and research productivity steepens, whereas the inverted-U shaped relationship between first-degree team size and research impact first flattens and then displays a U-shaped relationship. In the second-degree network, team size exerts little influence on research productivity when research variety is extremely small, and such an effect becomes inverted-U shaped when research variety increases. The turning point for the inverted-U shaped relationship between second-degree team size and research impact continues to shift to the left and down as research variety increases.","2021","2025-05-22 17:54:55","2025-05-26 13:13:24","2025-05-22 17:54:37","101205","","4","15","","","Team size, research variety, and research performance","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","/Users/ksoares/Zotero/storage/85KIWBJ6/S1751157721000766.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
