Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Score
7GK83HCH,journalArticle,2024,"Olivares, Rodrigo; Noel, Rene; Guzmán, Sebastián M.; Miranda, Diego; Munoz, Roberto",Intelligent learning-based methods for determining the ideal team size in agile practices,Biomimetics,,,,https://www.mdpi.com/2313-7673/9/5/292,"One of the significant challenges in scaling agile software development is organizing software development teams to ensure effective communication among members while equipping them with the capabilities to deliver business value independently. A formal approach to address this challenge involves modeling it as an optimization problem: given a professional staff, how can they be organized to optimize the number of communication channels, considering both intra-team and inter-team channels? In this article, we propose applying a set of bio-inspired algorithms to solve this problem. We introduce an enhancement that incorporates ensemble learning into the resolution process to achieve nearly optimal results. Ensemble learning integrates multiple machine-learning strategies with diverse characteristics to boost optimizer performance. Furthermore, the studied metaheuristics offer an excellent opportunity to explore their linear convergence, contingent on the exploration and exploitation phases. The results produce more precise definitions for team sizes, aligning with industry standards. Our approach demonstrates superior performance compared to the traditional versions of these algorithms.",2024,2025-05-22 17:54:55,2025-05-26 13:12:07,2025-05-22 17:54:20,292,,5,9.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: MDPI,,/Users/ksoares/Zotero/storage/DL48DDHL/Olivares et al. - 2024 - Intelligent learning-based methods for determining the ideal team size in agile practices.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
ZF6QKZ87,journalArticle,2024,"Al Sayegh, Miriam Al Arbaji; Nasser, Nasser A.",Team Size Dynamics: A Study on Factors Influencing Pull Request Acceptance in Open-Source Software Repositories,,,,,https://www.academia.edu/download/110724801/V13I1202402.pdf,"In contemporary software development, Pull-Based Development has become the prevalent methodology, prompting extensive research into the factors influencing the success of contributions. Our study delves into numerous factors while specifically investigating the pivotal role of team size in the evaluation and acceptance of pull requests. The significance of team size is underscored by its historical importance in guiding the choice of software methodologies. Our findings reveal that team size impacts the decision-making process concerning pull requests. The factors influencing these decisions are affected by team size, emphasizing the necessity of considering this variable in modern software projects. Our research illuminates the complex dynamics of pull-based development, providing valuable insights for project owners and developers alike.",2024,2025-05-22 17:54:55,2025-05-26 13:13:12,2025-05-22 17:54:25,,,,,,,Team Size Dynamics,,,,,,,,,,,,Google Scholar,,,,/Users/ksoares/Zotero/storage/99NGXRYI/Al Sayegh et Nasser - 2024 - Team Size Dynamics A Study on Factors Influencing Pull Request Acceptance in Open-Source Software R.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
LT3PT67M,journalArticle,2023,"Al Kurdi, Barween; Alshurideh, Muhammad Turki; Akour, Iman; Alzoubi, Haitham M.; Obeidat, Zaid Mohammad; Hamadneh, Samer; Joghee, Shanmugan",Factors affecting team social networking and performance: The moderation effect of team size and tenure,"Journal of Open Innovation: Technology, Market, and Complexity",,,,https://www.sciencedirect.com/science/article/pii/S219985312300149X,"As it derives from information technology, the internet revolution, and their consequences for business operations, social networking has received wide research interest. Therefore, this study aims to analyze the factors influencing team social networking and performance with the moderating effect of team size and tenure in SMEs in Jordan. Using a survey questionnaire, the study collected the data from this sector and analyzed it with SamartPLS to test the proposed research model. The results showed a mostly significant positive effect from seven factors (team communication, team conflict, team power, team regulation, team collaboration, team engagement, and team motivation). The study also revealed a moderating effect of both team size and tenure in the relationship between team social networking and SME performance in Jordan. The contributions provided through this work expand understanding of the factors’ importance while addressing the issue of team social networking and performance. In practice, this enables team leaders to focus on team size and tenure to develop their business performance.",2023,2025-05-22 17:54:55,2025-05-26 13:11:30,2025-05-22 17:54:27,100047,,2,9.0,,,Factors affecting team social networking and performance,,,,,,,,,,,,Google Scholar,,Publisher: Elsevier,,/Users/ksoares/Zotero/storage/87FKKM9Y/S219985312300149X.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
922UZ3CX,thesis,2021,"Seeley, Shane",The effect of unbalancing team size on the physical and technical demands of small-sided games using elite reserve team soccer players,,,,,https://theses.gla.ac.uk/id/eprint/82445,"At professional soccer clubs, players within the same club often require a different training stimulus on a given day based on different preceding training/match exposure and different responses to the same training stimulus. Despite large amounts of research into small-sided games (SSGs), there has be no previous research investigating whether unbalancing team size in SSGs results in differential physical and technical demands between teams. The aim of this study, therefore, is to investigate the physical and technical demands of different team sizes within unbalanced SSGs. 20 elite male soccer players (age: 19 ± 1 yr; height: 179.1 ± 5.6 cm; body mass: 71.4 ± 12.4 kg) from the reserve team of a Scottish Premier League club took part in the study during the in-season phase of the 2019/2020 season. Physical demands were measured using GPSports EVO 10-Hz GPS units along with polar H1 heart rate sensors (5 kHz). SSGs were recorded using a GoPro HERO7 4K video camera and technical demands (and possession) were recorded retrospectively by analysing the footage using Nacsport Scout PLUS video analysis software. The game formats used were 5 vs 5 (control group), 6 vs 4 and 7 vs 3, plus the goal keepers. There was 6 testing days throughout the season with 2 testing days per format (12 games total). Game format order was randomised every 3 testing days. SSGs were performed in a 2 x 4 minute fashion with 90 seconds rest between with only one format (e.g. 6 vs 4) measured per testing day. In addition to the above study protocol, 2 seasons of second day recovery data from the first team was compiled to put any “lower-intensity” data into context of the clubs periodisation strategy. The results show no significant differences between any individual physical or technical variables of the smaller, disadvantaged teams and the control. In contrast, the larger teams had significantly lower physical demands. Compared with the control group, the team of 7 had significantly lower mean total distance (284 vs 407 m), heart rate (73 vs 85 %HRmax), maximum velocity (18 vs 21 km.h-1), high-intensity running distance (0.1 vs 6.3 m) and decelerations (0.7 vs 1.6) per game. The results of the team of 7 showed great compatibility with the second day recovery data. The team of 3 and 4 had significantly lower possession compared with their opposition team of 7 and 6 respectively (35-37 vs 63-65 %). As a team, the team of 7 took significantly more shots than the control group (12 vs 7). The significantly lower demands of the advantaged teams and the control combined with the lack of differences between the disadvantaged teams and the control suggest that different periodisation targets can be hit within the same SSG. This means that recovery groups can be combined with regular training groups. This can lead to increased team cohesion, training enjoyment, and technical/technical development. It could also help younger athletes receive an optimal physical stimulus (in relation to the next match) when training with older teams for one-off sessions, thus allowing them to perform more matches throughout the season. Finally, the technical and tactical differences can be used to develop these skills e.g. how do 4 defenders deal with 6 attacking players and also reduce overtraining in select players.",2021,2025-05-22 17:54:55,2025-05-26 13:13:33,2025-05-22 17:54:35,,,,,,,,,,,,University of Glasgow,,,,PhD Thesis,,,Google Scholar,,,,/Users/ksoares/Zotero/storage/6FNWR9KP/Seeley - 2021 - The effect of unbalancing team size on the physical and technical demands of small-sided games using.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
7VEDGNZA,journalArticle,2021,"Zhu, Nibing; Liu, Chang; Yang, Zhilin","Team size, research variety, and research performance: do coauthors’ coauthors matter?",Journal of Informetrics,,,,https://www.sciencedirect.com/science/article/pii/S1751157721000766?casa_token=DGE2hWADuhoAAAAA:d1oc5xa-DSE8hWiNcQ7_J3tQNQM_GHOKuxEHsj4Mrss6-rdXaFP9eaCjxXRcZu_CThyND1H3u6s,"Despite team-based works having been dominant in scientific production, little is known about the relationships between team size and research performance in cross-domain research contexts. Drawn from a collaboration network of 114,577 scholars, we first investigate the relationships between team size and both research productivity and impact. In the first-degree network (i.e., a network that consists of the focal author, the coauthors, and the connections among the nodes), productivity is positively associated with team size, while team size and research impact exhibit an inverted-U shaped relationship. In the second-degree network (i.e., a network that consists of the focal author, the coauthors, the coauthors’ coauthors, and the connections among the nodes), both research productivity and impact suggest an inverted-U shaped relationship with the team size of second-degree connections. We also find that research variety exerts a moderating effect on the relationships between team size and research performance. With the increase in research variety, the curvilinear relationship between first-degree team size and research productivity steepens, whereas the inverted-U shaped relationship between first-degree team size and research impact first flattens and then displays a U-shaped relationship. In the second-degree network, team size exerts little influence on research productivity when research variety is extremely small, and such an effect becomes inverted-U shaped when research variety increases. The turning point for the inverted-U shaped relationship between second-degree team size and research impact continues to shift to the left and down as research variety increases.",2021,2025-05-22 17:54:55,2025-05-26 13:13:24,2025-05-22 17:54:37,101205,,4,15.0,,,"Team size, research variety, and research performance",,,,,,,,,,,,Google Scholar,,Publisher: Elsevier,,/Users/ksoares/Zotero/storage/85KIWBJ6/S1751157721000766.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
GBM5FPHC,journalArticle,2022,"Hillenbrand, Adrian; Werner, Tobias; Winter, Fabian",Willingness to volunteer among remote workers is insensitive to the team size,ZEW-Centre for European Economic Research Discussion Paper,,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4257752,"Volunteering is a widespread allocation mechanism in the workplace. It emerges naturally in software development or the generation of online knowledge platforms. Using a  field experiment with more than 2000 workers, we study the effect of team size on volunteering in an online labor market. In contrast to our theoretical predictions and previous  research, we find no effect of team size on volunteering although workers react to free riding incentives. We replicate the results and provide further robustness checks. Eliciting  workers’ beliefs about their co-workers’ volunteering reveals conditional volunteering as  the primary driver of our results.",2022,2025-05-22 17:54:55,2025-05-26 13:16:52,2025-05-22 17:54:39,,,22-050,,,,,,,,,,,,,,,,Google Scholar,,,,/Users/ksoares/Zotero/storage/Z4IQVNRC/Hillenbrand et al. - 2022 - Willingness to volunteer among remote workers is insensitive to the team size.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
QF2W238N,journalArticle,2022,"Yuan, Yingjie; Van Knippenberg, Daan",Leader Network Centrality and Team Performance: Team Size as Moderator and Collaboration as Mediator,Journal of Business and Psychology,,"0889-3268, 1573-353X",10.1007/s10869-021-09745-4,https://link.springer.com/10.1007/s10869-021-09745-4,"Abstract             The social network perspective provides a valuable lens to understand the effectiveness of team leaders. In understanding leadership impact in team networks, an important question concerns the structural influence of leader centrality in advice-giving networks on team performance. Taking the inconsistent evidence for the positive relationship of network centrality and leadership effectiveness as a starting point, we suggest that the positive impact of leader centrality in advice-giving networks is contingent on team needs for leadership to meet communication and coordination challenges, which we argue are larger in larger teams. Developing our analysis, we examine the mediating role of member collaboration in the relationship of leader network centrality and team performance as moderated by team size. Based on a multi-source dataset of 542 employees and 71 team leaders, we found that leader centrality in advice-giving networks related positively to team performance in larger teams but negatively in smaller teams. Results supported the mediated moderation model via member collaboration in smaller teams, but not in larger teams.",2022-04,2025-05-22 17:54:55,2025-05-22 17:54:55,2025-05-22 17:54:45,283-296,,2,37.0,,J Bus Psychol,Leader Network Centrality and Team Performance,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/ksoares/Zotero/storage/U7AI6ZLN/Yuan et Van Knippenberg - 2022 - Leader Network Centrality and Team Performance Team Size as Moderator and Collaboration as Mediator.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
N9S58X3V,journalArticle,2024,"Ji, Hao; Jin, Yan",Impact of Task Constraint on Agent Team Size of Self-Organizing Systems Measured by Effective Entropy,Journal of Computing and Information Science in Engineering,,,,https://asmedigitalcollection.asme.org/computingengineering/article/24/8/081004/1199403,"Self-organizing systems can perform complex tasks in unpredictable situations with adaptability. Previous work has introduced a multiagent reinforcement learning-based model as a design approach to solving the rule generation problem with complex tasks. A deep multiagent reinforcement learning algorithm was devised to train self-organizing agents for knowledge acquisition of the task field and social rules. The results showed that there is an optimal number of agents that achieve good learning stability and system performance. However, finding such a number is nontrivial due to the dynamic task constraints and unavailability of agent knowledge before training. Although extensive training can eventually reveal the optimal number, it requires training simulations of all agent numbers under consideration, which can be computationally expensive and time consuming. Thus, there remains the issue of how to predict such an optimal team size for self-organizing systems with minimal training experiments. In this article, we proposed a measurement of the complexity of the self-organizing system called effective entropy, which considers the task constraints. A systematic approach, including several key concepts and steps, is proposed to calculate the effective entropy for given task environments, which is then illustrated and tested in a box-pushing case study. The results show that our proposed method and complexity measurement can accurately predict the optimal number of agents in self-organizing systems, and training simulations can be reduced by a factor of 10.",2024,2025-05-22 17:54:55,2025-05-26 13:11:39,2025-05-22 17:54:47,,,8,24.0,,,,,,,,,,,,,,,Google Scholar,,Publisher: American Society of Mechanical Engineers Digital Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3XT3KVAC,journalArticle,2024,"Monaco, Valerio Lo; Meoli, Michele; Vanacker, Tom; Vismara, Silvio",Entrepreneurial team size and fundraising success: Evidence from equity crowdfunding,IEEE Transactions on Engineering Management,,,,https://ieeexplore.ieee.org/abstract/document/10587113/,"How does entrepreneurial team size affect fundraising success? Theory and prior evidence are contradictory or inconclusive at least. Indeed, a resource dependency theory perspective suggests that larger teams have access to more resources, which should positively affect fundraising success. In contrast, a team effectiveness perspective suggests that larger teams incur higher coordination costs, which should negatively affect fundraising success. In this article, we address this theoretical paradox by arguing for a curvilinear effect between team size and fundraising success. By drawing on the liabilities of newness and smallness perspectives, we further argue that firm age and size will serve as important moderators. For this study, we exploit data from equity crowdfunding (ECF) markets. In Study 1, we examine the population of 2942 initial ECF offerings from three ECF platforms in the U.K. We provide first-time evidence of the inverted U-shaped relationship between entrepreneurial team size and the fundraising success of the ECF offering. Specifically, an entrepreneurial team of four members exhibits the highest probability in terms of ECF offering success. Moreover, we show that the inverted U-shape is stronger for younger and smaller firms relative to older and larger firms, respectively. In Study 2, we examine 256 initial ECF offerings from an Italian ECF platform and find broadly consistent results on the inverted U-shaped relationship between entrepreneurial team size and fundraising success.",2024,2025-05-22 17:54:55,2025-05-26 13:11:11,2025-05-22 17:54:53,,,,,,,Entrepreneurial team size and fundraising success,,,,,,,,,,,,Google Scholar,,Publisher: IEEE,,/Users/ksoares/Zotero/storage/A25PYZ5U/Monaco et al. - 2024 - Entrepreneurial team size and fundraising success Evidence from equity crowdfunding.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Q8CER6VH,journalArticle,2022,"Zhao, Yixin; Zong, Qingqing",Understanding the inventor team size: A view from “The Rice Theory”,International Studies of Economics,,"2831-3224, 2831-3224",10.1002/ise3.13,https://onlinelibrary.wiley.com/doi/10.1002/ise3.13,"Abstract             The inventor is a vital input in acquiring new technologies. Collaboration among inventors is an essential topic for scholars. Talhelm et al. proposed The Rice Theory, highlighting the cultural differences between rice and wheat regions. This paper explores the differences in inventor team size under rice and wheat cultures using invention patent data in China. The results of ordinary least square estimation and instrumental variable estimation indicate that the size of inventor teams under rice culture is significantly smaller than that under wheat culture by 0.558–0.721 persons. Using the Chinese Qinling–Huaihe line, this paper constructs a regression discontinuity (RD) design. The local average treatment effect estimation confirms the difference in rice and wheat cultures. Subsequently, we demonstrate the significant existence of this difference through lots of robustness checks. We try to explain the phenomenon from the perspective of “The Rice Theory” by arguing that inventors in rice regions may be more inclined to collaborate but with a smaller inventor team size. This paper demonstrates the cultural differences in the performance of inventor team size, informing our understanding of input in research and development (R&D) activities.",2022-07,2025-05-22 17:54:55,2025-05-22 17:54:55,2025-05-22 17:54:53,156-182,,2,17.0,,International Studies of Economics,Understanding the inventor team size,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/ksoares/Zotero/storage/BZ7QKN65/Zhao et Zong - 2022 - Understanding the inventor team size A view from “The Rice Theory”.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
