Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Score
BRZ7CKMX,preprint,2024.0,"Qin, Libo; Chen, Qiguang; Zhou, Yuhang; Chen, Zhi; Li, Yinghui; Liao, Lizi; Li, Min; Che, Wanxiang; Yu, Philip S.","Multilingual Large Language Model: A Survey of Resources, Taxonomy and Frontiers",,,,10.48550/arXiv.2404.04925,http://arxiv.org/abs/2404.04925,"Multilingual Large Language Models are capable of using powerful Large Language Models to handle and respond to queries in multiple languages, which achieves remarkable success in multilingual natural language processing tasks. Despite these breakthroughs, there still remains a lack of a comprehensive survey to summarize existing approaches and recent developments in this field. To this end, in this paper, we present a thorough review and provide a unified perspective to summarize the recent progress as well as emerging trends in multilingual large language models (MLLMs) literature. The contributions of this paper can be summarized: (1) First survey: to our knowledge, we take the first step and present a thorough review in MLLMs research field according to multi-lingual alignment; (2) New taxonomy: we offer a new and unified perspective to summarize the current progress of MLLMs; (3) New frontiers: we highlight several emerging frontiers and discuss the corresponding challenges; (4) Abundant resources: we collect abundant open-source resources, including relevant papers, data corpora, and leaderboards. We hope our work can provide the community with quick access and spur breakthrough research in MLLMs.",2024-04-07,2025-05-22 09:46:57,2025-05-22 09:46:57,2025-05-22 09:46:21,,,,,,,Multilingual Large Language Model,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2404.04925 [cs],,"/Users/ksoares/Zotero/storage/IW8UXR35/Qin et al. - 2024 - Multilingual Large Language Model A Survey of Resources, Taxonomy and Frontiers.pdf; /Users/ksoares/Zotero/storage/2XDX7NT3/2404.html",,,Computer Science - Computation and Language,,,,,,,,,,,,,,,,,,,arXiv:2404.04925,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
XXFAPMKF,journalArticle,2024.0,"Wu, Xingyu; Wu, Sheng-hao; Wu, Jibin; Feng, Liang; Tan, Kay Chen",Evolutionary computation in the era of large language model: Survey and roadmap,IEEE Transactions on Evolutionary Computation,,,,https://ieeexplore.ieee.org/abstract/document/10767756/,"Large language models (LLMs) have not only revolutionized natural language processing but also extended their prowess to various domains, marking a significant stride toward artificial general intelligence. The interplay between LLMs and evolutionary algorithms (EAs), despite differing in objectives and methodologies, share a common pursuit of applicability in complex problems. Meanwhile, EA can provide an optimization framework for LLM’s further enhancement under closed box settings, empowering LLM with flexible global search capacities. On the other hand, the abundant domain knowledge inherent in LLMs could enable EA to conduct more intelligent searches. Furthermore, the text processing and generative capabilities of LLMs would aid in deploying EAs across a wide range of tasks. Based on these complementary advantages, this article provides a thorough review and a forward-looking roadmap, categorizing the reciprocal inspiration into two main avenues: 1) LLM-enhanced EA and 2) EA-enhanced LLM. Some integrated synergy methods are further introduced to exemplify the complementarity between LLMs and EAs in diverse scenarios, including code generation, software engineering, neural architecture search, and various generation tasks. As the first comprehensive review focused on the EA research in the era of LLMs, this article provides a foundational stepping stone for understanding the collaborative potential of LLMs and EAs. The identified challenges and future directions offer guidance for researchers and practitioners to unlock the full potential of this innovative collaboration in propelling advancements in optimization and artificial intelligence. We have created a GitHub repository to index the relevant papers: https://github.com/wuxingyu-ai/LLM4EC.",2024,2025-05-22 09:46:57,2025-05-26 13:42:45,2025-05-22 09:46:23,,,,,,,Evolutionary computation in the era of large language model,,,,,,,,,,,,Google Scholar,,Publisher: IEEE,,/Users/ksoares/Zotero/storage/3TDR8AL2/Wu et al. - 2024 - Evolutionary computation in the era of large language model Survey and roadmap.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
FXMXHWZU,journalArticle,2024.0,"Wang, Lei; Ma, Chen; Feng, Xueyang; Zhang, Zeyu; Yang, Hao; Zhang, Jingsen; Chen, Zhiyuan; Tang, Jiakai; Chen, Xu; Lin, Yankai; Zhao, Wayne Xin; Wei, Zhewei; Wen, Jirong",A survey on large language model based autonomous agents,Frontiers of Computer Science,,"2095-2228, 2095-2236",10.1007/s11704-024-40231-1,https://link.springer.com/10.1007/s11704-024-40231-1,"Abstract             Autonomous agents have long been a research focus in academic and industry communities. Previous research often focuses on training agents with limited knowledge within isolated environments, which diverges significantly from human learning processes, and makes the agents hard to achieve human-like decisions. Recently, through the acquisition of vast amounts of Web knowledge, large language models (LLMs) have shown potential in human-level intelligence, leading to a surge in research on LLM-based autonomous agents. In this paper, we present a comprehensive survey of these studies, delivering a systematic review of LLM-based autonomous agents from a holistic perspective. We first discuss the construction of LLM-based autonomous agents, proposing a unified framework that encompasses much of previous work. Then, we present a overview of the diverse applications of LLM-based autonomous agents in social science, natural science, and engineering. Finally, we delve into the evaluation strategies commonly used for LLM-based autonomous agents. Based on the previous studies, we also present several challenges and future directions in this field.",2024-12,2025-05-22 09:46:57,2025-05-22 09:46:57,2025-05-22 09:46:24,186345,,6.0,18.0,,Front. Comput. Sci.,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/ksoares/Zotero/storage/F5NWZHDJ/Wang et al. - 2024 - A survey on large language model based autonomous agents.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
V8KEIG8X,preprint,2024.0,"Guo, Taicheng; Chen, Xiuying; Wang, Yaqi; Chang, Ruidi; Pei, Shichao; Chawla, Nitesh V.; Wiest, Olaf; Zhang, Xiangliang",Large Language Model based Multi-Agents: A Survey of Progress and Challenges,,,,10.48550/arXiv.2402.01680,http://arxiv.org/abs/2402.01680,"Large Language Models (LLMs) have achieved remarkable success across a wide array of tasks. Due to the impressive planning and reasoning abilities of LLMs, they have been used as autonomous agents to do many tasks automatically. Recently, based on the development of using one LLM as a single planning or decision-making agent, LLM-based multi-agent systems have achieved considerable progress in complex problem-solving and world simulation. To provide the community with an overview of this dynamic field, we present this survey to offer an in-depth discussion on the essential aspects of multi-agent systems based on LLMs, as well as the challenges. Our goal is for readers to gain substantial insights on the following questions: What domains and environments do LLM-based multi-agents simulate? How are these agents profiled and how do they communicate? What mechanisms contribute to the growth of agents' capacities? For those interested in delving into this field of study, we also summarize the commonly used datasets or benchmarks for them to have convenient access. To keep researchers updated on the latest studies, we maintain an open-source GitHub repository, dedicated to outlining the research on LLM-based multi-agent systems.",2024-04-19,2025-05-22 09:46:57,2025-05-22 09:46:57,2025-05-22 09:46:27,,,,,,,Large Language Model based Multi-Agents,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2402.01680 [cs],,/Users/ksoares/Zotero/storage/SYVU6VCD/Guo et al. - 2024 - Large Language Model based Multi-Agents A Survey of Progress and Challenges.pdf; /Users/ksoares/Zotero/storage/ZAQLAK9I/2402.html,,,Computer Science - Computation and Language; Computer Science - Artificial Intelligence; Computer Science - Multiagent Systems,,,,,,,,,,,,,,,,,,,arXiv:2402.01680,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
HZVBHPP3,journalArticle,2024.0,"Cao, Yuji; Zhao, Huan; Cheng, Yuheng; Shu, Ting; Chen, Yue; Liu, Guolong; Liang, Gaoqi; Zhao, Junhua; Yan, Jinyue; Li, Yun","Survey on large language model-enhanced reinforcement learning: Concept, taxonomy, and methods",IEEE Transactions on Neural Networks and Learning Systems,,,,https://ieeexplore.ieee.org/abstract/document/10766898/,"With extensive pretrained knowledge and high-level general capabilities, large language models (LLMs) emerge as a promising avenue to augment reinforcement learning (RL) in aspects, such as multitask learning, sample efficiency, and high-level task planning. In this survey, we provide a comprehensive review of the existing literature in LLM-enhanced RL and summarize its characteristics compared with conventional RL methods, aiming to clarify the research scope and directions for future studies. Utilizing the classical agent–environment interaction paradigm, we propose a structured taxonomy to systematically categorize LLMs’ functionalities in RL, including four roles: information processor, reward designer, decision-maker, and generator. For each role, we summarize the methodologies, analyze the specific RL challenges that are mitigated and provide insights into future directions. Finally, the comparative analysis of each role, potential applications, prospective opportunities, and challenges of the LLM-enhanced RL are discussed. By proposing this taxonomy, we aim to provide a framework for researchers to effectively leverage LLMs in the RL field, potentially accelerating RL applications in complex applications, such as robotics, autonomous driving, and energy systems.",2024,2025-05-22 09:46:57,2025-05-26 13:52:26,2025-05-22 09:46:29,,,,,,,Survey on large language model-enhanced reinforcement learning,,,,,,,,,,,,Google Scholar,,Publisher: IEEE,,"/Users/ksoares/Zotero/storage/MTD8FZCQ/Cao et al. - 2024 - Survey on large language model-enhanced reinforcement learning Concept, taxonomy, and methods.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
587PUDSY,preprint,2024.0,"Liu, Junwei; Wang, Kaixin; Chen, Yixuan; Peng, Xin; Chen, Zhenpeng; Zhang, Lingming; Lou, Yiling",Large Language Model-Based Agents for Software Engineering: A Survey,,,,10.48550/arXiv.2409.02977,http://arxiv.org/abs/2409.02977,"The recent advance in Large Language Models (LLMs) has shaped a new paradigm of AI agents, i.e., LLM-based agents. Compared to standalone LLMs, LLM-based agents substantially extend the versatility and expertise of LLMs by enhancing LLMs with the capabilities of perceiving and utilizing external resources and tools. To date, LLM-based agents have been applied and shown remarkable effectiveness in Software Engineering (SE). The synergy between multiple agents and human interaction brings further promise in tackling complex real-world SE problems. In this work, we present a comprehensive and systematic survey on LLM-based agents for SE. We collect 106 papers and categorize them from two perspectives, i.e., the SE and agent perspectives. In addition, we discuss open challenges and future directions in this critical domain. The repository of this survey is at https://github.com/FudanSELab/Agent4SE-Paper-List.",2024-09-04,2025-05-22 09:46:57,2025-05-22 09:46:57,2025-05-22 09:46:31,,,,,,,Large Language Model-Based Agents for Software Engineering,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2409.02977 [cs],,/Users/ksoares/Zotero/storage/VHS6DM7Z/Liu et al. - 2024 - Large Language Model-Based Agents for Software Engineering A Survey.pdf; /Users/ksoares/Zotero/storage/GLPDUKAC/2409.html,,,Computer Science - Artificial Intelligence; Computer Science - Software Engineering,,,,,,,,,,,,,,,,,,,arXiv:2409.02977,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
E8LVRGZQ,journalArticle,2025.0,"Xi, Zhiheng; Chen, Wenxiang; Guo, Xin; He, Wei; Ding, Yiwen; Hong, Boyang; Zhang, Ming; Wang, Junzhe; Jin, Senjie; Zhou, Enyu; Zheng, Rui; Fan, Xiaoran; Wang, Xiao; Xiong, Limao; Zhou, Yuhao; Wang, Weiran; Jiang, Changhao; Zou, Yicheng; Liu, Xiangyang; Yin, Zhangyue; Dou, Shihan; Weng, Rongxiang; Qin, Wenjuan; Zheng, Yongyan; Qiu, Xipeng; Huang, Xuanjing; Zhang, Qi; Gui, Tao",The rise and potential of large language model based agents: a survey,Science China Information Sciences,,"1674-733X, 1869-1919",10.1007/s11432-024-4222-0,https://link.springer.com/10.1007/s11432-024-4222-0,"For a long time, researchers have sought artificial intelligence (AI) that matches or exceeds human intelligence. AI agents, which are artificial entities capable of sensing the environment, making decisions, and taking actions, are seen as a means to achieve this goal. Extensive efforts have been made to develop AI agents, with a primary focus on refining algorithms or training strategies to enhance specific skills or particular task performance. The field, however, lacks a sufficiently general and powerful model to serve as a foundation for building general agents adaptable to diverse scenarios. With their versatile capabilities, large language models (LLMs) pave a promising path for the development of general AI agents, and substantial progress has been made in the realm of LLM-based agents. In this article, we conduct a comprehensive survey on LLM-based agents, covering their construction frameworks, application scenarios, and the exploration of societies built upon LLM-based agents. We also conclude some potential future directions and open problems in this flourishing field.",2025-02,2025-05-22 09:46:57,2025-05-26 13:53:12,2025-05-22 09:46:34,121101,,2.0,68.0,,Sci. China Inf. Sci.,The rise and potential of large language model based agents,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/ksoares/Zotero/storage/TVJZQITW/Xi et al. - 2025 - The rise and potential of large language model based agents a survey.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
DZQV8TI5,preprint,2025.0,"Hu, Sihao; Huang, Tiansheng; Liu, Gaowen; Kompella, Ramana Rao; Ilhan, Fatih; Tekin, Selim Furkan; Xu, Yichang; Yahn, Zachary; Liu, Ling",A Survey on Large Language Model-Based Game Agents,,,,10.48550/arXiv.2404.02039,http://arxiv.org/abs/2404.02039,"The development of game agents holds a critical role in advancing towards Artificial General Intelligence. The progress of Large Language Models (LLMs) offers an unprecedented opportunity to evolve and empower game agents with human-like decision-making capabilities in complex computer game environments. This paper provides a comprehensive overview of LLM-based game agents from a holistic viewpoint. First, we introduce the conceptual architecture of LLM-based game agents, centered around three core functional components: memory, reasoning and in/output. Second, we survey existing representative LLM-based game agents documented in the literature with respect to methodologies and adaptation agility across six genres of games, including adventure, communication, competition, cooperation, simulation, and crafting & exploration games. Finally, we present an outlook of future research and development directions in this burgeoning field. A curated list of relevant papers is maintained and made accessible at: https://github.com/git-disl/awesome-LLM-game-agent-papers.",2025-03-30,2025-05-22 09:46:57,2025-05-22 09:46:57,2025-05-22 09:46:35,,,,,,,,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2404.02039 [cs],,/Users/ksoares/Zotero/storage/WQN788GX/Hu et al. - 2025 - A Survey on Large Language Model-Based Game Agents.pdf; /Users/ksoares/Zotero/storage/ZNRFFIP6/2404.html,,,Computer Science - Artificial Intelligence,,,,,,,,,,,,,,,,,,,arXiv:2404.02039,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
EXET649U,preprint,2024.0,"Zhang, Zeyu; Bo, Xiaohe; Ma, Chen; Li, Rui; Chen, Xu; Dai, Quanyu; Zhu, Jieming; Dong, Zhenhua; Wen, Ji-Rong",A Survey on the Memory Mechanism of Large Language Model based Agents,,,,10.48550/arXiv.2404.13501,http://arxiv.org/abs/2404.13501,"Large language model (LLM) based agents have recently attracted much attention from the research and industry communities. Compared with original LLMs, LLM-based agents are featured in their self-evolving capability, which is the basis for solving real-world problems that need long-term and complex agent-environment interactions. The key component to support agent-environment interactions is the memory of the agents. While previous studies have proposed many promising memory mechanisms, they are scattered in different papers, and there lacks a systematical review to summarize and compare these works from a holistic perspective, failing to abstract common and effective designing patterns for inspiring future studies. To bridge this gap, in this paper, we propose a comprehensive survey on the memory mechanism of LLM-based agents. In specific, we first discuss ''what is'' and ''why do we need'' the memory in LLM-based agents. Then, we systematically review previous studies on how to design and evaluate the memory module. In addition, we also present many agent applications, where the memory module plays an important role. At last, we analyze the limitations of existing work and show important future directions. To keep up with the latest advances in this field, we create a repository at \url{https://github.com/nuster1128/LLM_Agent_Memory_Survey}.",2024-04-21,2025-05-22 09:46:57,2025-05-22 09:46:57,2025-05-22 09:46:39,,,,,,,,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2404.13501 [cs],,/Users/ksoares/Zotero/storage/EVM2F5EM/Zhang et al. - 2024 - A Survey on the Memory Mechanism of Large Language Model based Agents.pdf; /Users/ksoares/Zotero/storage/2LXLVDMT/2404.html,,,Computer Science - Artificial Intelligence,,,,,,,,,,,,,,,,,,,arXiv:2404.13501,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2G8QXCBI,preprint,2024.0,"Huang, Yining; Tang, Keke; Chen, Meilian; Wang, Boyuan",A Comprehensive Survey on Evaluating Large Language Model Applications in the Medical Industry,,,,10.48550/arXiv.2404.15777,http://arxiv.org/abs/2404.15777,"Since the inception of the Transformer architecture in 2017, Large Language Models (LLMs) such as GPT and BERT have evolved significantly, impacting various industries with their advanced capabilities in language understanding and generation. These models have shown potential to transform the medical field, highlighting the necessity for specialized evaluation frameworks to ensure their effective and ethical deployment. This comprehensive survey delineates the extensive application and requisite evaluation of LLMs within healthcare, emphasizing the critical need for empirical validation to fully exploit their capabilities in enhancing healthcare outcomes. Our survey is structured to provide an in-depth analysis of LLM applications across clinical settings, medical text data processing, research, education, and public health awareness. We begin by exploring the roles of LLMs in various medical applications, detailing their evaluation based on performance in tasks such as clinical diagnosis, medical text data processing, information retrieval, data analysis, and educational content generation. The subsequent sections offer a comprehensive discussion on the evaluation methods and metrics employed, including models, evaluators, and comparative experiments. We further examine the benchmarks and datasets utilized in these evaluations, providing a categorized description of benchmarks for tasks like question answering, summarization, information extraction, bioinformatics, information retrieval and general comprehensive benchmarks. This structure ensures a thorough understanding of how LLMs are assessed for their effectiveness, accuracy, usability, and ethical alignment in the medical domain. ...",2024-05-29,2025-05-22 09:46:57,2025-05-22 09:46:57,2025-05-22 09:46:43,,,,,,,,,,,,arXiv,,,,,,,arXiv.org,,arXiv:2404.15777 [cs],,/Users/ksoares/Zotero/storage/BSJD33XU/Huang et al. - 2024 - A Comprehensive Survey on Evaluating Large Language Model Applications in the Medical Industry.pdf; /Users/ksoares/Zotero/storage/XYCG5P8J/2404.html,,,Computer Science - Computation and Language,,,,,,,,,,,,,,,,,,,arXiv:2404.15777,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
