ID;Case Number;Date;Block;IUCR;Primary Type;Description;Location Description;Arrest;Domestic;FBI Code;Year;Updated On;Latitude;Longitude
10508693;HZ250496;05/03/2016 11:40:00 PM;013XX S SAWYER AVE;0486;BATTERY;DOMESTIC BATTERY SIMPLE;APARTMENT;true;true;08B;2016;05/10/2016 03:56:50 PM;41.864073157;-87.706818608
10508695;HZ250409;05/03/2016 09:40:00 PM;061XX S DREXEL AVE;0486;BATTERY;DOMESTIC BATTERY SIMPLE;RESIDENCE;false;true;08B;2016;05/10/2016 03:56:50 PM;41.782921527;-87.60436317
10508697;HZ250503;05/03/2016 11:31:00 PM;053XX W CHICAGO AVE;0470;PUBLIC PEACE VIOLATION;RECKLESS CONDUCT;STREET;false;false;24;2016;05/10/2016 03:56:50 PM;41.894908283;-87.758371958
10508698;HZ250424;05/03/2016 10:10:00 PM;049XX W FULTON ST;0460;BATTERY;SIMPLE;SIDEWALK;false;false;08B;2016;05/10/2016 03:56:50 PM;41.885686845;-87.749515983
10508699;HZ250455;05/03/2016 10:00:00 PM;003XX N LOTUS AVE;0820;THEFT;$500 AND UNDER;RESIDENCE;false;true;06;2016;05/10/2016 03:56:50 PM;41.886297242;-87.761750709
10508702;HZ250447;05/03/2016 10:35:00 PM;082XX S MARYLAND AVE;041A;BATTERY;AGGRAVATED: HANDGUN;STREET;false;false;04B;2016;05/10/2016 03:56:50 PM;41.745354023;-87.603798903
10508703;HZ250489;05/03/2016 10:30:00 PM;027XX S STATE ST;0460;BATTERY;SIMPLE;CHA HALLWAY/STAIRWELL/ELEVATOR;false;false;08B;2016;05/10/2016 03:56:50 PM;41.844023772;-87.626923253
10508704;HZ250514;05/03/2016 09:30:00 PM;002XX E 46TH ST;0460;BATTERY;SIMPLE;RESIDENCE PORCH/HALLWAY;false;false;08B;2016;05/10/2016 03:56:50 PM;41.811133958;-87.62074077
10508709;HZ250523;05/03/2016 04:00:00 PM;014XX W DEVON AVE;0460;BATTERY;SIMPLE;SIDEWALK;false;false;08B;2016;05/10/2016 03:56:50 PM;41.99813061;-87.665814038
10508982;HZ250667;05/03/2016 10:30:00 PM;069XX S ASHLAND AVE;0486;BATTERY;DOMESTIC BATTERY SIMPLE;STREET;false;true;08B;2016;05/10/2016 03:56:50 PM;41.768096835;-87.663878589
